건물 id	주소	출입구 계단 개수	출입구 경사로 유무	엘리베이터 유무	엘리베이터까지의 계단 개수	생성 시점	입력자 이름
DRMywTrb4zhiKwxztsOUUuTdMZww/62ignb/	서울 성동구 왕십리광장로 17	0개	false	true	0개	2022-11-19 12:35:13	-
h7MB4idyWW66H2Kbke6vjze9IrJ9B5m+Km4Z	서울 마포구 양화로 171	0개	false	true	0개	2022-11-19 14:23:13	leobit
PD//eQGMnVoA2j7ubSyat/MwO4Osm70x42UD	서울 서대문구 신촌로 3	1개	false	false	-	2022-11-19 14:25:47	제니
ieX4CQ5vNMw9xY3fX7mMM2K6c/zhabKkYA+M	서울 서초구 강남대로61길 10	1개	false	true	0개	2022-11-19 14:27:14	-
Uc9cLvfY3Jm5CTavd50QIdQo9NIjrQuI9lgC	서울 마포구 양화로 165	2~5개	true	true	0개	2022-11-19 14:27:17	leobit
8Q1Ug8vO5yGgh3rhcUjmTpCGsQXoohdsVyTj	서울 서초구 서초대로75길 23	2~5개	false	false	-	2022-11-19 14:30:58	-
xVUuIpUYCgeW/g/i05ILoL8io2vAiloitvMH	서울 마포구 와우산로37길 46	0개	false	false	-	2022-11-19 14:34:27	Jin
ctvjDBB1ERZpGchwJDf3GHmaKJwvd04q393V	서울 서초구 강남대로 455	0개	false	true	0개	2022-11-19 14:35:29	정의준
mvQu0OHyCZ39AKDhTkgc161j3iKLBafesI0O	서울 서대문구 신촌로 9	1개	false	false	-	2022-11-19 14:36:06	제니
iA96XQivS3E7jkXKLtft3lR0WwylPYjdmNqc	서울 서초구 서초대로77길 24	0개	false	true	0개	2022-11-19 14:36:09	-
Dg48JL3FUe7YGSTImXGzz0vrhQaFJGys8Uy+	서울 마포구 와우산로37길 52	0개	false	false	-	2022-11-19 14:38:06	Jin
dJg++euWBAg5HozrS92G7qBZePWB05s4nx6w	서울 강남구 테헤란로5길 29	6개 이상	false	false	-	2022-11-19 14:38:23	-
wtM/7ZrKoFEZgFmaK2EjfC646nEw7IX9KL0Y	서울 마포구 동교로 222	1개	false	false	-	2022-11-19 14:38:56	heenaa
UIoHCylQVMqtEJDAEgRz+slNfapw/e9dLF14	서울 마포구 동교로 220	6개 이상	false	false	-	2022-11-19 14:40:18	heenaa
eQRVevxFp3wp0Rs2fkSxUNLtou8mZPFlxnm6	서울 서대문구 신촌로 1	6개 이상	true	true	0개	2022-11-19 14:40:44	kokjh1234
SsA7WSKKr/ycW2SIEL3xeWQTuzGRiMK21u15	서울 마포구 동교로 220-3	0개	false	false	-	2022-11-19 14:41:40	heenaa
Qz6tWGTYsatkV3zX37/gIy5wielJKV5eDcMO	서울 마포구 신촌로4길 22-6	0개	false	true	2~5개	2022-11-19 14:43:30	Jin
MqcymglBPO0z6n0VhwCwwhVvXhXOkfPXWvG+	서울 강남구 강남대로96길 19	1개	false	true	2~5개	2022-11-19 14:43:35	-
zFPjUSp0qIL1WASIYS9dZKqJai4ZGgzJ6aY1	서울 마포구 동교로 221	1개	false	false	-	2022-11-19 14:46:12	heenaa
RWs8TxTOGOK2R2Y3YNs6Bugzj5ZxSAd/YpRb	서울 강남구 강남대로96길 17	1개	false	true	2~5개	2022-11-19 14:46:23	-
2986UQ7RaPQhq/Y8EnWJnCpgjposMmDpvVWU	서울 마포구 신촌로4길 22-8	0개	false	true	2~5개	2022-11-19 14:47:13	Jin
3CAEKKlUTnelYPNlUJVVvAsZIAKAad0nNuj7	서울 마포구 동교로 219	1개	false	false	-	2022-11-19 14:47:50	heenaa
9w7f9sHK6kC65YZMJzhou3HkbWlP5j5xNvW1	서울 서초구 강남대로 423	2~5개	false	true	0개	2022-11-19 14:47:57	정의준
SvAAKKmET4uKg/TA8usg70svMqzdnr6ez5Bq	서울 마포구 신촌로4길 22-10	0개	false	true	0개	2022-11-19 14:49:02	Jin
ddlL4ZUIStXNawQFmGxp7WUT/vpnZFhDgRTS	서울 강남구 강남대로96길 15	2~5개	false	false	-	2022-11-19 14:49:07	-
91mNRXdAhxZ4vpvw59VfB67w5yqAGhBZXTvs	서울 마포구 동교로 217	0개	true	true	0개	2022-11-19 14:50:39	heenaa
+EZ76L4N1cYqKI2XpxbCtk6Yec3PpDynKk4i	서울 마포구 신촌로4길 22-12	0개	false	true	0개	2022-11-19 14:51:54	Jin
0dsnlk6DaJbUPPms3YhKI+gs4GgaJDPd0FwZ	서울 서대문구 신촌로 15	2~5개	false	false	-	2022-11-19 14:52:08	제니
LLSdXG6w59XaFikhxZCwqZJhXtl1q1Rm5nK/	서울 마포구 월드컵북로2길 57	0개	true	true	0개	2022-11-19 14:52:08	leobit
n58V0+2AR1yrEFM0ker4CMYv2n2vQ61qdmpn	서울 마포구 월드컵북로4길 95	6개 이상	false	false	-	2022-11-19 14:52:49	heenaa
1scA/hSWGuzc8xeGcLItt4pi0LEG+yCHSNxE	서울 마포구 월드컵북로2길 25	2~5개	false	false	-	2022-11-19 14:53:03	-
080w8BDX5RKmr0N6zxO6hOgcca6IYlNO2oGA	서울 마포구 신촌로4길 22-14	0개	false	true	2~5개	2022-11-19 14:53:45	Jin
KuykROUyMbGDHnOq1EoHklaWIKV3Xr7ZW/t0	서울 마포구 월드컵북로4길 87	2~5개	true	true	0개	2022-11-19 14:54:28	heenaa
tDiV3F80wVIqBRsjT7MyO6T3IyUzrGQO3SgU	서울 마포구 월드컵북로6길 88-10	6개 이상	false	false	-	2022-11-19 14:56:04	heenaa
mFFoX/pvLT1whX6K7GBDF3TMQCwbavNnK2m7	서울 마포구 신촌로4길 22-22	6개 이상	false	false	-	2022-11-19 14:56:09	Jin
YHld9fPzazPuOyTEjHnajHrLgayFsl6TGUOM	서울 서대문구 신촌로 17	0개	false	false	-	2022-11-19 14:56:13	제니
Q1HEEhSYd2Q4mccPPBlfDWXT/b3yevoZs529	서울 서초구 서초대로77길 25	0개	true	true	6개 이상	2022-11-19 14:56:42	-
1XXbC3yIooNJNgpJJDT0h02pIWtLV5AzSqTU	서울 마포구 월드컵북로6길 88	2~5개	false	false	-	2022-11-19 14:57:21	heenaa
l39/6mbtCXf/a+UQXvRh8fGmy0z7LNPTGnTp	서울 마포구 신촌로2안길 2	2~5개	false	false	-	2022-11-19 14:58:15	Jin
RIGbLog7O+kbsbLj2MyHrEew0GUhUGMuoqOD	서울 강남구 강남대로96길 20	1개	false	true	6개 이상	2022-11-19 14:58:24	-
CcEQ9FEr3J4+Wuao0xyyLN15DgBzI9wtgFs7	서울 강남구 강남대로96길 18	6개 이상	false	false	-	2022-11-19 14:59:20	-
AEsctiLRBWo1aHf0E1De3w/c3FrSLUu97SeT	서울 마포구 동교로 200	2~5개	false	false	-	2022-11-19 14:59:23	leobit
zMpKDcQwRd6xbY3NHxs5wyVfoq3jpeRMr7nL	서울 마포구 월드컵북로2길 29	6개 이상	false	false	-	2022-11-19 14:59:25	우야
bjNG/kVADUGGU1lsII/d8FaJl5Ho+YeoycOJ	서울 마포구 월드컵북로6길 92	1개	false	true	1개	2022-11-19 15:00:19	heenaa
VlwOXNHAWKvYJOg3Gb1raLxBcfP5p38/oY2z	서울 마포구 동교로 198	1개	false	false	-	2022-11-19 15:01:01	leobit
BeLHYPzALVIcOq8b/t2iKU8Nb7pF7kI3GwW9	서울 서초구 강남대로 421	0개	true	true	0개	2022-11-19 15:01:05	정의준
usy8qIC5+FxzCVsXqSOfSHo/5AcbGPjpM0AZ	서울 마포구 월드컵북로6길 98	0개	false	true	0개	2022-11-19 15:02:18	heenaa
/ql/zaQ9yegKmzOmlwvI4WTwgoBLkzz3PuYW	서울 마포구 신촌로2안길 6	1개	false	false	-	2022-11-19 15:02:34	Jin
tnNDW8etEyjdUCAhIj173FGuSa31qrzvLmyf	서울 마포구 동교로 196	1개	false	false	-	2022-11-19 15:03:44	leobit
gDs8GMM9oYG42aQnUisCeGML6pATG2eekySY	서울 서초구 서초대로73길 24	0개	true	false	-	2022-11-19 15:03:51	-
Tyu+SjXfv6LEQvztPn6/paOXTU97KL10ty9J	서울 마포구 월드컵북로6길 97	2~5개	false	false	-	2022-11-19 15:03:51	heenaa
e1vO86YdWcrMoIJb/wdXEYVbXx7ydEek+gg+	서울 마포구 동교로 182-6	2~5개	false	false	-	2022-11-19 15:04:27	우야
JXSNfThFAVphp8byiSEHxlkd+4xR4qeoMEXc	서울 강남구 강남대로96길 22	1개	false	false	-	2022-11-19 15:04:27	-
ejJFNlGFgwgUZ2XhT51v3aEm6LscvYH0UAQk	서울 마포구 동교로 194	2~5개	false	false	-	2022-11-19 15:04:49	leobit
rxSy7zR+mUgxmkxtbF31cX8Ve5/9woLHnlU0	서울 마포구 월드컵북로6길 93	2~5개	false	false	-	2022-11-19 15:05:25	heenaa
OgJcVqFTe0JG7aH4R54i93o+GtWTJFexIX5H	서울 서대문구 신촌로3길 9	0개	true	false	-	2022-11-19 15:05:51	제니
+3Haq2c6YQNAaEY7R9M+BWuz38bA6pOL1vZF	서울 강남구 테헤란로5길 24	2~5개	true	true	0개	2022-11-19 15:06:56	-
SGkNhYQEfmvyF00YdJodJgaGigXF9hqTho/l	서울 마포구 신촌로2안길 20	6개 이상	false	false	-	2022-11-19 15:07:02	Jin
q6m7svLmgFL4m7XM9yFwBaefr+ujwHlJ04ED	서울 마포구 동교로 182-3	0개	true	false	-	2022-11-19 15:07:05	우야
lTPT8/9ZKiPzEw0mTMlPcH5ddIt5LfLXob88	서울 마포구 연남로 11	2~5개	false	false	-	2022-11-19 15:07:18	heenaa
sFkAM8DjImvhX1Kf2pHczik8KZREZAI6iDbz	서울 서대문구 신촌로3길 6	2~5개	false	false	-	2022-11-19 15:07:33	제니
ifHhDZjuzYU5hs4bGPa3fDfo8gvWjcXw0Bar	서울 마포구 동교로 193	0개	false	true	2~5개	2022-11-19 15:07:49	leobit
iFNExwYsCS1Xv/KmzLzDu/WYqJTFKXA7Q76x	서울 마포구 연남로 13	2~5개	true	true	2~5개	2022-11-19 15:09:05	heenaa
