점포 id	점포 이름	건물 id	주소	출입구 계단 개수	출입구 경사로 유무	생성 시점	입력자 이름	
10809505	탐앤탐스 왕십리역점	DRMywTrb4zhiKwxztsOUUuTdMZww/62ignb/	서울 성동구 왕십리광장로 17	0개	false	2022-11-19 12:35:13	-	
7962122	스타벅스 엔터식스	DRMywTrb4zhiKwxztsOUUuTdMZww/62ignb/	서울 성동구 왕십리광장로 17	0개	false	2022-11-19 12:36:59	mauve	
1394231213	포비브라이트 홍대점	h7MB4idyWW66H2Kbke6vjze9IrJ9B5m+Km4Z	서울 마포구 양화로 171	0개	false	2022-11-19 14:23:13	leobit	
16930691	GS25 서대문창천점	PD//eQGMnVoA2j7ubSyat/MwO4Osm70x42UD	서울 서대문구 신촌로 3	2~5개	false	2022-11-19 14:25:47	제니	
12296836	GS25 서초프라자점	ieX4CQ5vNMw9xY3fX7mMM2K6c/zhabKkYA+M	서울 서초구 강남대로61길 10	2~5개	false	2022-11-19 14:27:14	-	
22105109	스타벅스 홍대역점	Uc9cLvfY3Jm5CTavd50QIdQo9NIjrQuI9lgC	서울 마포구 양화로 165	2~5개	false	2022-11-19 14:27:17	leobit	
291312453	소망약국	Uc9cLvfY3Jm5CTavd50QIdQo9NIjrQuI9lgC	서울 마포구 양화로 165	0개	false	2022-11-19 14:29:43	leobit	
27564595	이자카야나무 강남3호점	8Q1Ug8vO5yGgh3rhcUjmTpCGsQXoohdsVyTj	서울 서초구 서초대로75길 23	2~5개	false	2022-11-19 14:30:58	-	
19010954	탐스칼국수	xVUuIpUYCgeW/g/i05ILoL8io2vAiloitvMH	서울 마포구 와우산로37길 46	0개	false	2022-11-19 14:34:27	Jin	
1314308585	유앤미클리닉 홍대점	Uc9cLvfY3Jm5CTavd50QIdQo9NIjrQuI9lgC	서울 마포구 양화로 165	0개	false	2022-11-19 14:35:19	leobit	
389689844	던킨 강남대로점	ctvjDBB1ERZpGchwJDf3GHmaKJwvd04q393V	서울 서초구 강남대로 455	2~5개	false	2022-11-19 14:35:29	정의준	
15673110	구씨네부엌	mvQu0OHyCZ39AKDhTkgc161j3iKLBafesI0O	서울 서대문구 신촌로 9	1개	false	2022-11-19 14:36:06	제니	
14590794	엔제리너스 강남역점	iA96XQivS3E7jkXKLtft3lR0WwylPYjdmNqc	서울 서초구 서초대로77길 24	1개	false	2022-11-19 14:36:09	-	
1779337670	리버스클리닉 홍대점	Uc9cLvfY3Jm5CTavd50QIdQo9NIjrQuI9lgC	서울 마포구 양화로 165	0개	false	2022-11-19 14:37:51	leobit	
1095339694	아비아채 서울홍대점	Dg48JL3FUe7YGSTImXGzz0vrhQaFJGys8Uy+	서울 마포구 와우산로37길 52	2~5개	false	2022-11-19 14:38:06	Jin	
26431943	백억하누 강남본점	dJg++euWBAg5HozrS92G7qBZePWB05s4nx6w	서울 강남구 테헤란로5길 29	6개 이상	false	2022-11-19 14:38:23	-	
1041224037	연남족발1987	wtM/7ZrKoFEZgFmaK2EjfC646nEw7IX9KL0Y	서울 마포구 동교로 222	1개	false	2022-11-19 14:38:56	heenaa	
